Model,Method,Domain,Category,Metric,Value,SE,CI_Lower,CI_Upper,Bootstrap_N,N
GPT-5,Zero-shot (select),Coping,ACT,Directional Macro-F1,0.2844,0.0295,0.2290,0.3431,2000,124
GPT-5,Zero-shot (select),Coping,ACT,Spearman_Rho,-0.2308,0.3124,-0.8000,0.5000,2000,124
GPT-5,Zero-shot (select),Quitting,ACT,Accuracy,0.2097,0.0357,0.1452,0.2823,2000,124
GPT-5,Zero-shot (select),Quitting,ACT,F1,0.1614,0.0263,0.1122,0.2120,2000,124
GPT-5,Zero-shot (select),Quitting,ACT,Kappa,0.0471,0.0358,-0.0229,0.1223,2000,124
GPT-5,Zero-shot (select),Quitting,ACT,QWK,0.0766,0.0581,-0.0393,0.1872,2000,124
GPT-5,Zero-shot (select),Quitting,ACT,Directional Accuracy,0.3226,0.0414,0.2419,0.4032,2000,124
GPT-5,Zero-shot (select),Quitting,ACT,Directional Macro-F1,0.3210,0.0418,0.2391,0.4026,2000,124
GPT-5,Zero-shot (select),Quitting,ACT,Spearman_Rho,0.1364,0.3860,-0.7500,1.0000,2000,124
GPT-5,Zero-shot (select),Content,CBT,Accuracy,0.4067,0.0404,0.3267,0.4867,2000,150
GPT-5,Zero-shot (select),Content,CBT,F1,0.1882,0.0292,0.1450,0.2643,2000,150
GPT-5,Zero-shot (select),Content,CBT,Kappa,0.0745,0.0415,-0.0015,0.1569,2000,150
GPT-5,Zero-shot (select),Content,CBT,QWK,-0.0016,0.0828,-0.1647,0.1616,2000,150
GPT-5,Zero-shot (select),Content,CBT,Directional Accuracy,0.6600,0.0397,0.5800,0.7333,2000,150
GPT-5,Zero-shot (select),Content,CBT,Directional Macro-F1,0.3492,0.0298,0.2928,0.4074,2000,150
GPT-5,Zero-shot (select),Content,CBT,Spearman_Rho,0.1364,0.3670,-0.6000,1.0000,2000,150
GPT-5,Zero-shot (select),Coping,CBT,Accuracy,0.3067,0.0385,0.2333,0.3867,2000,150
GPT-5,Zero-shot (select),Coping,CBT,F1,0.1833,0.0239,0.1395,0.2338,2000,150
GPT-5,Zero-shot (select),Coping,CBT,Kappa,0.0606,0.0429,-0.0189,0.1455,2000,150
GPT-5,Zero-shot (select),Coping,CBT,QWK,0.0091,0.0719,-0.1256,0.1512,2000,150
GPT-5,Zero-shot (select),Coping,CBT,Directional Accuracy,0.4133,0.0417,0.3333,0.4933,2000,150
GPT-5,Zero-shot (select),Coping,CBT,Directional Macro-F1,0.3603,0.0408,0.2817,0.4419,2000,150
GPT-5,Zero-shot (select),Coping,CBT,Spearman_Rho,-0.1429,0.2629,-0.6251,0.4167,2000,150
GPT-5,Zero-shot (select),Quitting,CBT,Accuracy,0.2000,0.0329,0.1400,0.2667,2000,150
GPT-5,Zero-shot (select),Quitting,CBT,F1,0.1605,0.0314,0.1014,0.2242,2000,150
GPT-5,Zero-shot (select),Quitting,CBT,Kappa,0.0161,0.0349,-0.0515,0.0828,2000,150
GPT-5,Zero-shot (select),Quitting,CBT,QWK,-0.0381,0.0598,-0.1518,0.0798,2000,150
GPT-5,Zero-shot (select),Quitting,CBT,Directional Accuracy,0.2667,0.0366,0.1933,0.3400,2000,150
GPT-5,Zero-shot (select),Quitting,CBT,Directional Macro-F1,0.2699,0.0365,0.1981,0.3420,2000,150
GPT-5,Zero-shot (select),Quitting,CBT,Spearman_Rho,-0.1197,0.2537,-0.6111,0.4075,2000,150
GPT-5,Few-shot (select),Content,ACT,Accuracy,0.3065,0.0417,0.2258,0.3871,2000,124
GPT-5,Few-shot (select),Content,ACT,F1,0.1609,0.0239,0.1138,0.2075,2000,124
GPT-5,Few-shot (select),Content,ACT,Kappa,0.0282,0.0423,-0.0557,0.1094,2000,124
