k_train,method_group,feature_set,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
3,Generic LLM,Few-shot,GPT-4o-mini,content,228,0.36403508771929827,0.20687037131187824,0.007981755986316896,0.10063822243233667,0.7192982456140351,0.3374037114845938,-0.9999999999999999,228
3,Generic LLM,Few-shot,GPT-4o-mini,coping,228,0.2631578947368421,0.18720280763826314,0.018223760092272223,0.06848438300051196,0.41228070175438597,0.3136872822073849,0.9999999999999999,228
3,Generic LLM,Few-shot,GPT-4o-mini,quitting,228,0.2719298245614035,0.20605889758462573,0.005700774990148538,0.058331633693657015,0.4956140350877193,0.32904953145917,-0.9999999999999999,228
3,Generic LLM,Zero-shot,GPT-5,content,228,0.39035087719298245,0.17513768615443806,0.05159205171175496,0.096830985915493,0.7192982456140351,0.3187131614475287,,228
3,Generic LLM,Zero-shot,GPT-5,coping,228,0.2543859649122807,0.1480664852314836,0.013665165279792224,0.06884211803238927,0.4166666666666667,0.3361041541424914,-0.9999999999999999,228
3,Generic LLM,Zero-shot,GPT-5,quitting,228,0.14473684210526316,0.10276419571264932,-0.014188603494684981,0.034887383839974695,0.18859649122807018,0.19665820769269046,0.9999999999999999,228
3,Generic LLM,Few-shot,GPT-5,content,228,0.40789473684210525,0.2570097338278446,0.1043733814414991,0.09320992118012872,0.6885964912280702,0.3768814628498423,0.9999999999999999,228
3,Generic LLM,Few-shot,GPT-5,coping,228,0.25,0.19294776213883894,0.02123813827383647,0.06287106104429885,0.40789473684210525,0.3416561462938042,0.9999999999999999,228
3,Generic LLM,Few-shot,GPT-5,quitting,228,0.21052631578947367,0.16015195488030803,-0.0007071273560752545,0.09325744308231165,0.36403508771929827,0.3175885842552509,0.9999999999999999,228
3,Generic LLM,Zero-shot,Gemini-2.5-Pro,content,228,0.3815789473684211,0.21785837651122625,0.035723926932421435,0.08385180995475117,0.7236842105263158,0.33728276554363507,0.9999999999999999,228
3,Generic LLM,Zero-shot,Gemini-2.5-Pro,coping,228,0.2807017543859649,0.18536259566682586,0.0021082970830776926,0.05786918023421883,0.5526315789473685,0.3218151762384685,0.9999999999999999,228
3,Generic LLM,Zero-shot,Gemini-2.5-Pro,quitting,228,0.2982456140350877,0.18892031541568574,-5.482756730068594e-05,0.08251289263947503,0.5745614035087719,0.3270010279086907,0.9999999999999999,228
