k_train,feature_set,ensemble,domain,N,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho
1,Demographics,LLM-anchor 30/70,content,2704,0.46449704142011833,0.3351117578041919,0.2329324476075767,0.36231370039399524,0.6819526627218935,0.490364587675958,0.058114447768920434
1,Demographics,LLM-anchor 30/70,coping,2704,0.3838757396449704,0.34305063301262695,0.17862216226357785,0.4344836139261069,0.6087278106508875,0.5123546423723656,0.04881588475221953
1,Demographics,LLM-anchor 30/70,quitting,2704,0.3968195266272189,0.3503504475268205,0.19983714519297102,0.47585984169561535,0.625,0.5180589388106921,0.06829164724144911
1,Avg-History,RF only,content,2704,0.3443047337278107,0.1024484181568088,0.0,0.0,0.6782544378698225,0.2694285294549728,
1,Avg-History,RF only,coping,2704,0.3139792899408284,0.09558119898677174,0.0,0.0,0.6053994082840237,0.25140136681256237,
1,Avg-History,RF only,quitting,2704,0.3047337278106509,0.09342403628117914,0.0,0.0,0.6135355029585798,0.25349530139812054,
1,Avg-History,LLM only,content,2704,0.4619082840236686,0.32746554845080694,0.22626747885585008,0.35015587409395765,0.680103550295858,0.4759553605048225,0.05583073858057013
1,Avg-History,LLM only,coping,2704,0.38979289940828404,0.34670256538799926,0.18511419743446866,0.4265975820379966,0.606508875739645,0.5068094945867488,0.05218110787093471
1,Avg-History,LLM only,quitting,2704,0.4005177514792899,0.35584554474164837,0.20522790488520437,0.4750179540282009,0.625,0.521997198342715,0.07452903498726063
1,Avg-History,Mean (50/50),content,2704,0.4367603550295858,0.21473680800453782,0.15187661718755796,0.19250571803980732,0.676405325443787,0.27678919825930703,0.05121499064446936
1,Avg-History,Mean (50/50),coping,2704,0.3228550295857988,0.15194445993913136,0.039619248024158504,0.20919911189007556,0.617603550295858,0.3729596230406269,0.0904753044281494
1,Avg-History,Mean (50/50),quitting,2704,0.3879437869822485,0.21429273707347768,0.12493945623338287,0.2146314049954653,0.6190828402366864,0.29370114015298027,0.05147214112159006
1,Avg-History,RF-anchor 70/30,content,2704,0.3761094674556213,0.1570362309772407,0.051949369109038135,0.13910476706546693,0.6782544378698225,0.2694285294549728,0.0742204418575694
1,Avg-History,RF-anchor 70/30,coping,2704,0.32211538461538464,0.133461541219409,0.033653458092173905,0.15355749981868383,0.6009615384615384,0.31559331334166,0.09833941791288212
1,Avg-History,RF-anchor 70/30,quitting,2704,0.34356508875739644,0.16221360571031954,0.0537112888836313,0.17903357140402443,0.6135355029585798,0.25349530139812054,0.04952493458148912
1,Avg-History,LLM-anchor 30/70,content,2704,0.4397189349112426,0.24902768446251936,0.1638840766182429,0.23987370656334694,0.676405325443787,0.33488980445547284,0.04589195141781014
1,Avg-History,LLM-anchor 30/70,coping,2704,0.3757396449704142,0.2752380320665795,0.157552172734998,0.37791443839207284,0.5813609467455622,0.44322568007926116,0.04086729837889264
1,Avg-History,LLM-anchor 30/70,quitting,2704,0.40088757396449703,0.27554353592273234,0.16443396604311267,0.3610868111899409,0.6431213017751479,0.42197229125621477,0.0829641863435123
1,Demo+History,RF only,content,2704,0.4382396449704142,0.33641138326895614,0.21584777957469503,0.34961397646659575,0.6335059171597633,0.4886824521099011,
1,Demo+History,RF only,coping,2704,0.4068047337278107,0.36871313832506997,0.21690505306707142,0.4327248238848431,0.5998520710059172,0.4997011337379937,
1,Demo+History,RF only,quitting,2704,0.41605029585798814,0.3640918200854587,0.2271708451764517,0.4697303468865822,0.6298076923076923,0.5138982459167526,
1,Demo+History,LLM only,content,2704,0.4619082840236686,0.32746554845080694,0.22626747885585008,0.35015587409395765,0.680103550295858,0.4759553605048225,0.05583073858057013
