k_train,method_group,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
5,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,quitting,439,0.4419134396355353,0.3913315706864094,0.2421808394456305,0.49641437066751126,0.6537585421412301,0.5166001375374473,0.03191489361702126,439
7,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,content,265,0.4716981132075472,0.3837753546143131,0.23891191072087958,0.39862212727581847,0.7132075471698113,0.536308222354734,0.4166666666666666,265
7,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,coping,265,0.4528301886792453,0.43537807328486844,0.2573587677083937,0.4726368159203981,0.660377358490566,0.5455662482149238,0.14285714285714282,265
7,"LLM-PP (cbtact, Excel-7)",Gemini-2.5-Pro,quitting,265,0.47547169811320755,0.43712114780705436,0.2867792278201603,0.5426977803073421,0.7018867924528301,0.581892597137989,0.7499999999999999,265
0,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,content,892,0.5089686098654709,0.33568606440195464,0.27361833616551345,0.4202428861426689,0.7376681614349776,0.5032836134472687,0.10469883218257847,892
0,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,coping,892,0.452914798206278,0.39232621531353934,0.24401397015277904,0.4850687328791323,0.672645739910314,0.530937673696685,-0.022134240304332455,892
0,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,quitting,892,0.460762331838565,0.4086660311474753,0.2662466480599792,0.5290436332635822,0.6872197309417041,0.5474379021452598,0.020233231794113654,892
1,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,content,790,0.5126582278481012,0.33762325076745997,0.2758402300930468,0.43981005036661214,0.7506329113924051,0.5138009401551021,0.08158708288911859,790
1,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,coping,790,0.4544303797468354,0.39635576466293243,0.24606302699638638,0.5053030575264288,0.6759493670886076,0.5325092786637914,0.03172766206243807,790
1,"LLM-PP (cbtact, Excel-7)",Grok-4-Fast,quitting,790,0.4670886075949367,0.41958089943432525,0.27204876500651154,0.5564183383258089,0.7012658227848101,0.5605163625408148,0.11862304670409819,790
