model,model_color,reference_key,reference,comparison_key,comparison,domain,metric,difference,ci_low,ci_high,verdict,bootstrap_replicates,resampling_unit,n_participants,n_test_messages,seed,baseline_key,baseline
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,macro_f1,-0.008423680733956329,-0.03863817178622637,0.021982658260364683,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,qwk,-0.023996228389665197,-0.05880824146816665,0.0111781909210438,comparable,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,directional_accuracy,-0.04899777282850781,-0.0746934225195095,-0.025502167169638195,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Coping,directional_macro_f1,-0.03887298649212151,-0.06670141798439937,-0.010670733777852352,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,accuracy,-0.041202672605790636,-0.06570155902004454,-0.016648168701442867,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,macro_f1,-0.03524655884831773,-0.06159461287543664,-0.005944476279740845,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,qwk,-0.05097268431394286,-0.08216539295293754,-0.018653586584999406,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,directional_accuracy,-0.04454342984409798,-0.06904424051465786,-0.02006633097705044,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_ratings_only,History + ratings only,Quitting,directional_macro_f1,-0.036024226443193696,-0.06495160139856927,-0.007597214291114956,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,accuracy,-0.12472160356347439,-0.16518340237038215,-0.08463016318552419,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,macro_f1,-0.15298082190547588,-0.20329917789920712,-0.1079284853272717,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,qwk,-0.3820581829900723,-0.4566044675364874,-0.3023613441952945,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,directional_accuracy,-0.03786191536748329,-0.07367618090750715,-0.003355610963218528,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Content,directional_macro_f1,-0.18716970188910775,-0.23894663760822496,-0.13210430258935146,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,accuracy,-0.15367483296213807,-0.19821826280623608,-0.10813823857302118,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,macro_f1,-0.2153600783019418,-0.25783261903358295,-0.17031756139283724,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,qwk,-0.4960198176988567,-0.5695246922371794,-0.41645245371359735,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,directional_accuracy,-0.21826280623608024,-0.26169265033407574,-0.17594654788418707,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Coping,directional_macro_f1,-0.2207897024018598,-0.2684376307735663,-0.17324765178342852,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,accuracy,-0.20712694877505566,-0.25500307957625035,-0.1587081427140576,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,macro_f1,-0.24584604715963781,-0.2921506223763788,-0.1982019782683908,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
